127  3  0
   1      76    77    38
   2      38    36     7
   3      78    38    77
   4      78    36    38
   5      76    38    75
   6      74    75    54
   7      38    54    75
   8      38     7    54
   9      49     7    27
  10      54     7    74
  11       7    36    27
  12      73    74     7
  13      78    79    19
  14      41    19    79
  15      41    80    13
  16      19    13     4
  17      13    19    41
  18      17     4    15
  19      19     4    26
  20      80    81    13
  21      19    36    78
  22      18    36    42
  23      36    19    26
  24      42    36    26
  25      18    55    27
  26      32    55    48
  27      26    12    42
  28      42    48    55
  29      42    55    18
  30       4    17    26
  31      18    27    36
  32       4    13    45
  33      79    80    41
  34      55    49    27
  35      71    51    70
  36      69    51    44
  37      69    70    51
  38      51    71    72
  39      67    68    44
  40      66    44    65
  41      44    66    67
  42      65    44    64
  43      68    69    44
  44      73     7    72
  45      64    44    63
  46      51    72     7
  47       7    49    51
  48      63    49    62
  49      63    44    49
  50      44    51    49
  51      49    55    23
  52      62    23    61
  53      23    62    49
  54      61    23    60
  55      60    37    28
  56      37    60    23
  57      28    37    59
  58      60    28    59
  59      37    23    11
  60      32    30    55
  61      55    30    23
  62      17    12    26
  63      81    82    45
  64      45    82     1
  65      45    15     4
  66      45    14    35
  67      17    29    12
  68      17    15    29
  69      15    46    29
  70      46    15    35
  71      34    46    35
  72      12    29    40
  73      15    45    35
  74       6    29    46
  75      35    14    34
  76      39    42    12
  77      34     6    46
  78      34    14     1
  79      20     1    83
  80      34     1    22
  81       1    82    83
  82      20    83    84
  83      22     1    20
  84      40    22    24
  85      40     6    34
  86      12    40    39
  87       6    40    29
  88      20    50    22
  89      50    20    84
  90      50    84    56
  91      22    50    24
  92      34    22    40
  93      24    50    10
  94       1    14    45
  95      39    40    24
  96       9    30    32
  97       9    48    21
  98      21     8     9
  99      21    39    47
 100       3     8     2
 101      21    48    39
 102      42    39    48
 103       9     8     3
 104      30    11    23
 105      11    30     3
 106      59    11     2
 107      59     2    58
 108       3     2    11
 109      30     9     3
 110      11    59    37
 111      33     8    21
 112       9    32    48
 113      33     2     8
 114      33    47    10
 115      10    56    57
 116      56    10    50
 117      10    57    33
 118      39    24    47
 119      33    57    31
 120      31    25     2
 121      25    31    57
 122      58    25    57
 123       2    25    58
 124       2    33    31
 125      33    21    47
 126      24    10    47
 127      81    45    13
# Generated by C:\Users\kensm\AppData\Local\Temp\triangle -pPN plane_13.poly
